iter	Passed	Remaining
0	1	99
1	1	91
2	2	93
3	3	88
4	4	85
5	5	85
6	6	84
7	7	82
8	7	80
9	8	79
10	9	79
11	10	78
12	11	77
13	12	75
14	13	74
15	13	73
16	14	72
17	15	71
18	16	70
19	17	68
20	18	68
21	19	67
22	19	66
23	20	65
24	21	64
25	22	63
26	23	63
27	24	62
28	24	61
29	25	60
30	26	59
31	27	58
32	28	57
33	28	56
34	29	55
35	30	54
36	31	53
37	32	52
38	33	52
39	34	51
40	34	50
41	35	48
42	36	47
43	36	46
44	37	46
45	38	45
46	39	44
47	40	43
48	41	43
49	42	42
50	43	41
51	44	40
52	45	40
53	45	39
54	46	38
55	47	37
56	48	36
57	48	35
58	49	34
59	50	33
60	51	33
61	52	32
62	53	31
63	54	30
64	55	29
65	56	29
66	57	28
67	58	27
68	59	26
69	60	25
70	61	24
71	62	24
72	62	23
73	64	22
74	65	21
75	66	20
76	67	20
77	68	19
78	69	18
79	70	17
80	71	16
81	71	15
82	72	14
83	73	14
84	74	13
85	75	12
86	76	11
87	77	10
88	78	9
89	79	8
90	80	7
91	81	7
92	83	6
93	83	5
94	85	4
95	86	3
96	87	2
97	88	1
98	89	0
99	90	0
