iter	Passed	Remaining
0	0	96
1	1	91
2	2	86
3	3	81
4	4	80
5	5	80
6	5	79
7	6	78
8	7	78
9	8	76
10	9	76
11	10	75
12	11	74
13	12	73
14	12	73
15	13	72
16	14	71
17	15	71
18	16	70
19	17	70
20	18	69
21	19	68
22	20	67
23	20	66
24	21	65
25	22	64
26	23	63
27	24	62
28	25	61
29	26	61
30	27	60
31	28	59
32	29	58
33	29	57
34	30	57
35	31	56
36	32	55
37	33	54
38	34	53
39	35	53
40	36	52
41	36	50
42	37	49
43	38	48
44	38	47
45	39	46
46	40	46
47	41	45
48	42	44
49	43	43
50	44	42
51	45	41
52	45	40
53	47	40
54	47	38
55	48	38
56	49	37
57	50	36
58	51	35
59	51	34
60	52	33
61	53	33
62	54	32
63	55	31
64	56	30
65	57	29
66	57	28
67	58	27
68	59	26
69	60	26
70	61	25
71	62	24
72	63	23
73	64	22
74	64	21
75	65	20
76	66	19
77	67	19
78	68	18
79	69	17
80	70	16
81	70	15
82	71	14
83	72	13
84	73	12
85	74	12
86	75	11
87	76	10
88	77	9
89	78	8
90	78	7
91	79	6
92	80	6
93	81	5
94	82	4
95	82	3
96	83	2
97	84	1
98	85	0
99	86	0
